N,MB,min,avgMin,avg,avgMax,max
1,0.0,1061.2,1448.0,1742.4,1987.2,2142.6
2,76.0,1337.8,1490.1,1959.5,2184.7,2345.8
3,152.0,1294.5,1659.2,2031.9,2233.2,2401.0
4,228.0,785.6,1460.9,1846.1,2098.9,2516.5
5,304.0,1314.4,1750.4,1965.2,2133.0,2281.9
6,380.0,1071.9,1543.5,1849.4,2086.5,2385.6
7,456.0,1311.3,1774.1,2102.9,2287.4,2551.5
8,532.0,1425.5,1874.8,2159.8,2260.4,2515.4
9,608.0,1053.9,1828.9,2058.2,2213.6,2430.0
10,684.0,1471.8,1857.6,2043.2,2258.9,2490.8
11,760.0,1488.5,1662.5,1995.8,2137.0,2463.1
12,836.0,909.0,1572.8,2009.7,2325.2,2522.9
13,912.0,1302.7,1847.7,2163.4,2319.8,2515.6
14,988.0,971.3,1597.8,1883.5,2207.5,2312.8
15,1064.0,1653.3,1800.2,1928.7,2051.4,2284.1
16,1140.0,1244.8,1640.8,2027.2,2262.0,2505.6
17,1216.0,1160.5,1633.8,2024.1,2168.3,2341.0
18,1292.0,1042.9,1359.4,2077.0,2347.7,2514.6
19,1368.0,485.0,1174.5,2097.8,2287.9,2484.0
20,1444.0,937.1,1880.1,2062.8,2228.7,2438.7
21,1520.0,1574.7,1980.2,2116.1,2213.7,2399.4
22,1596.0,1247.6,1785.9,2044.2,2199.6,2316.4
23,1672.0,1838.9,2053.9,2162.5,2213.6,2298.2
24,1748.0,1542.4,1876.7,2136.4,2248.2,2358.4
25,1824.0,1463.2,1920.9,2158.8,2270.4,2398.8
26,1900.0,879.8,1898.7,2203.8,2381.6,2542.1
27,1976.0,1549.8,1772.8,2213.8,2403.7,2599.8
28,2052.0,1233.2,1652.1,1988.7,2161.7,2353.9
29,2128.0,1368.8,1835.6,2041.7,2167.4,2254.0
30,2204.0,1575.0,1897.6,2098.0,2211.9,2303.9
31,2280.0,1584.3,1993.9,2161.4,2226.6,2350.9
32,2356.0,409.9,1191.9,2003.1,2274.6,2402.4
33,2432.0,1555.9,2026.3,2160.5,2245.6,2345.1
34,2508.0,1616.9,1948.6,2153.1,2248.2,2379.7
35,2584.0,1679.3,2010.7,2106.4,2167.4,2336.4
36,2660.0,1840.5,2034.8,2112.8,2215.3,2266.8
37,2736.0,1204.1,1828.6,2132.1,2330.8,2562.5
38,2812.0,1435.8,1927.5,2045.4,2215.7,2410.1
39,2888.0,673.9,1322.9,2141.6,2422.8,2554.0
40,2964.0,850.4,1118.7,2234.4,2385.1,2518.1
41,3040.0,1156.3,1600.6,1917.5,2255.1,2459.1
42,3116.0,1329.2,1627.4,1943.8,2230.1,2298.1
43,3192.0,1130.8,1500.9,1957.4,2214.7,2360.0
44,3268.0,1009.5,1976.9,2147.5,2320.1,2449.3
45,3344.0,1599.9,1947.3,2129.0,2251.1,2447.1
46,3420.0,1408.7,1916.0,2179.7,2292.2,2508.0
47,3496.0,1596.9,1824.7,2149.7,2249.2,2486.5
48,3572.0,1576.8,1934.1,2166.3,2244.7,2340.1
49,3648.0,1491.7,1953.1,2142.0,2246.4,2520.2
50,3724.0,1534.4,1869.5,2100.4,2208.3,2281.5
51,3800.0,1715.3,2010.9,2141.5,2232.1,2339.3
52,3876.0,1453.9,1903.2,2107.4,2195.5,2314.7
53,3952.0,1021.4,1483.7,2118.6,2312.1,2527.5
54,4028.0,1005.0,1467.0,2083.0,2276.5,2468.2
55,4104.0,1443.9,1699.4,2006.0,2208.8,2412.3
56,4180.0,1672.2,1927.0,2166.3,2231.3,2395.9
57,4256.0,1614.9,1744.1,2096.8,2241.3,2309.5
58,4332.0,1316.0,1647.2,2024.7,2241.5,2405.1
59,4408.0,1043.9,1804.6,2116.0,2279.4,2556.7
60,4484.0,1565.3,1877.4,2018.9,2162.5,2324.4
61,4560.0,1540.8,1903.8,2099.9,2190.5,2304.0
62,4636.0,1742.6,1981.6,2145.0,2254.4,2347.7
63,4712.0,1995.1,2102.1,2165.2,2260.3,2338.1
64,4788.0,1501.4,1836.8,2127.2,2257.0,2334.4
65,4864.0,850.6,1688.8,2107.4,2267.3,2418.4
66,4940.0,2005.2,2152.6,2278.8,2381.0,2463.2
67,5016.0,1430.3,1742.7,2042.8,2204.9,2339.9
68,5092.0,1138.3,1660.8,1992.8,2175.9,2516.0
69,5168.0,1083.3,1562.7,2011.4,2255.5,2353.9
70,5244.0,1429.1,1789.3,2045.2,2172.5,2322.2
71,5320.0,953.7,1954.4,2151.8,2324.9,2480.5
72,5396.0,1566.0,1947.0,2106.2,2193.0,2317.2
73,5472.0,1752.8,1892.9,2070.1,2154.6,2311.6
74,5548.0,1512.0,1900.3,2139.0,2266.5,2374.5
75,5624.0,1963.3,1976.7,2140.7,2188.5,2233.0
76,5700.0,506.9,1325.8,2203.6,2313.6,2399.7
77,5776.0,983.9,1886.5,2242.1,2368.8,2449.0
78,5852.0,1466.0,1960.9,2210.4,2334.8,2458.2
79,5928.0,1703.1,1933.0,2050.4,2198.4,2356.1
80,6004.0,1666.7,1952.3,2133.2,2271.9,2437.8
81,6080.0,1129.1,1495.6,1853.0,2067.6,2286.6
82,6156.0,1435.3,1579.5,2016.9,2247.0,2401.0
83,6232.0,1038.0,1504.9,2117.2,2336.2,2523.2
84,6308.0,1432.3,1814.5,2135.5,2313.0,2495.8
85,6384.0,1511.3,1811.5,2121.4,2250.7,2495.2
86,6460.0,1052.5,1479.9,2058.6,2218.0,2480.9
87,6536.0,1358.0,1760.3,2127.6,2240.8,2410.7
88,6612.0,1425.9,1934.5,2187.3,2306.4,2453.4
89,6688.0,1225.7,1744.0,2065.3,2200.7,2394.6
90,6764.0,1418.4,2004.2,2143.8,2214.9,2495.8
91,6840.0,1398.5,1784.7,1985.5,2078.2,2238.4
92,6916.0,1011.4,1704.8,2020.6,2225.6,2363.4
93,6992.0,1231.1,1643.5,2166.3,2337.7,2510.8
94,7068.0,712.4,1525.4,2032.0,2299.7,2511.6
95,7144.0,1022.4,1400.3,1914.0,2084.7,2209.6
96,7220.0,763.6,1549.1,2011.5,2252.9,2395.1
97,7296.0,1353.5,1682.1,1958.5,2122.7,2340.3
98,7372.0,858.5,1496.5,2080.9,2216.9,2380.5
99,7448.0,1338.2,1650.2,2167.8,2388.0,2508.6
100,7524.0,1316.6,1703.3,2130.9,2271.4,2396.5
101,7600.0,1405.4,1767.2,2165.3,2386.9,2523.8
102,7676.0,1528.8,1858.2,2175.7,2354.1,2518.1
103,7752.0,1400.7,1750.6,2032.1,2182.6,2308.9
104,7828.0,609.4,1517.9,2007.1,2211.8,2329.5
105,7904.0,1478.2,1756.0,2001.5,2120.8,2286.1
106,7980.0,1527.0,1812.9,2123.7,2220.1,2335.2
107,8056.0,400.0,1193.9,1933.1,2313.3,2494.7
108,8132.0,1128.7,1587.9,1959.4,2202.0,2518.1
109,8208.0,1498.0,1721.3,2039.7,2225.3,2336.4
110,8284.0,1475.8,1893.6,2069.1,2196.0,2372.5
111,8360.0,1453.5,1824.2,2023.9,2155.4,2282.6
112,8436.0,962.7,1694.7,1937.9,2189.1,2642.5
113,8512.0,1440.5,1751.2,2030.1,2279.8,2527.3
114,8588.0,1604.9,1804.5,2097.7,2254.0,2447.1
115,8664.0,1227.4,1777.6,2003.1,2177.7,2338.9
116,8740.0,1305.2,1649.1,2064.6,2152.8,2252.0
117,8816.0,414.9,1011.9,1936.0,2228.6,2489.1
118,8892.0,1200.8,1571.6,2092.2,2294.7,2694.7
119,8968.0,1376.6,1689.4,2031.3,2268.2,2620.2
120,9044.0,1424.9,1862.9,2141.7,2253.1,2454.0
121,9120.0,904.6,1675.2,2088.4,2340.1,2507.8
122,9196.0,1187.2,1574.8,1954.3,2242.1,2475.1
123,9272.0,1724.1,1828.9,1943.0,2048.5,2258.4
124,9348.0,1298.4,1713.9,2069.8,2236.4,2368.7
125,9424.0,1011.7,1854.5,2122.6,2282.5,2457.9
126,9500.0,1225.1,1633.8,2075.4,2268.2,2463.7
127,9576.0,1332.3,1849.2,2173.9,2320.2,2406.0
128,9652.0,611.9,1572.7,2175.3,2342.2,2476.5
129,9728.0,1548.8,1948.6,2146.7,2272.8,2474.5
130,9804.0,1442.3,1778.3,2112.7,2239.2,2441.7
131,9880.0,1339.2,1878.7,2024.6,2239.6,2445.4
132,9956.0,967.6,1710.7,2075.8,2294.2,2483.1
133,10032.0,1476.4,1725.8,1980.7,2112.6,2349.1
134,10108.0,1496.2,1859.4,2012.9,2140.1,2393.8
135,10184.0,982.8,1646.1,2015.1,2220.3,2485.2
136,10260.0,1382.1,1785.1,2009.8,2225.1,2568.9
137,10336.0,1224.5,1721.9,2015.1,2226.2,2399.4
138,10412.0,1343.5,1658.8,1944.4,2116.2,2314.9
139,10488.0,969.2,1691.1,2092.5,2310.3,2514.6
140,10564.0,1513.6,1916.9,2199.2,2345.1,2552.3
141,10640.0,1607.6,1895.7,2109.7,2329.6,2454.0
142,10716.0,1370.9,1792.9,2053.2,2218.1,2393.2
143,10792.0,1469.8,1659.4,2089.6,2196.1,2289.6
144,10868.0,1494.7,1787.2,1989.0,2103.3,2247.8
145,10944.0,1064.6,1859.7,2094.8,2278.8,2457.8
146,11020.0,1332.0,1685.3,1953.0,2169.8,2354.3
147,11096.0,1185.4,1459.4,1847.9,2068.2,2265.8
148,11172.0,675.5,1294.8,1900.1,2130.2,2339.6
149,11248.0,975.0,1525.3,1860.8,2182.0,2449.8
150,11324.0,1094.7,1604.9,2026.1,2253.7,2452.8
151,11400.0,1239.0,1842.4,2057.3,2216.5,2301.4
152,11476.0,1475.6,1710.9,2060.6,2235.2,2300.7
153,11552.0,1532.6,1844.4,2031.5,2186.2,2287.4
154,11628.0,1509.7,1920.2,2135.3,2218.5,2356.0
155,11704.0,1383.6,1668.0,2003.8,2178.4,2287.7
156,11780.0,1470.2,1890.0,2053.3,2133.9,2243.4
157,11856.0,1418.3,1846.3,2078.1,2180.0,2329.0
158,11932.0,912.8,1548.2,1888.9,2090.7,2239.8
159,12008.0,944.8,1434.5,1872.7,2055.0,2235.1
160,12084.0,1498.9,1754.6,2017.3,2163.0,2286.4
161,12160.0,908.8,1578.4,2028.9,2163.1,2287.8
162,12236.0,1083.7,1704.9,2040.7,2191.3,2291.2
163,12312.0,1443.4,1853.7,1982.7,2154.1,2277.6
164,12388.0,898.9,1722.7,1999.9,2147.2,2408.6
165,12464.0,1454.6,1803.7,2050.7,2174.8,2296.3
166,12540.0,1397.9,1823.2,2069.1,2190.9,2321.0
167,12616.0,1358.0,1827.2,2066.8,2163.2,2318.8
168,12692.0,1242.7,1580.7,2014.5,2161.4,2235.9
169,12768.0,1421.5,1819.6,2030.2,2177.3,2281.9
170,12844.0,1003.8,1473.5,1992.2,2240.6,2459.9
171,12920.0,1438.3,1720.0,2021.9,2142.2,2273.6
172,12996.0,1356.6,1819.5,2089.7,2217.6,2377.6
173,13072.0,1228.2,1621.2,1990.3,2197.4,2352.2
174,13148.0,494.8,1295.4,1863.3,2082.7,2276.6
175,13224.0,990.5,1508.6,1888.2,2153.1,2367.3
176,13300.0,926.7,1643.7,2034.6,2259.3,2542.8
177,13376.0,1348.0,1714.3,2042.4,2176.9,2422.8
178,13452.0,1398.0,1756.4,2089.5,2238.4,2335.5
179,13528.0,1399.9,1841.7,2147.9,2276.1,2428.4
180,13604.0,1399.2,1729.5,1962.5,2107.0,2239.5
181,13680.0,1467.6,1777.5,2058.8,2139.9,2306.1
182,13756.0,1496.8,1801.8,2060.8,2175.5,2421.0
183,13832.0,1386.3,1301.5,1992.4,2127.5,2289.6
184,13908.0,306.9,1331.0,2021.8,2190.2,2336.2
185,13984.0,883.4,1725.6,2061.9,2192.9,2407.8
186,14060.0,504.1,1563.2,2036.0,2208.8,2295.0
187,14136.0,656.8,1733.7,2075.8,2167.7,2290.3
188,14212.0,342.2,1417.2,1947.7,2078.1,2245.9
189,14288.0,983.7,1440.0,1941.3,2111.0,2306.4
190,14364.0,1703.0,2002.8,2161.5,2267.6,2395.9
191,14440.0,474.0,1375.0,1995.3,2181.6,2374.5
192,14516.0,1186.2,1633.2,2047.6,2164.6,2278.8
193,14592.0,566.9,1157.1,1896.7,2147.7,2283.1
194,14668.0,1579.8,1907.9,2051.6,2201.6,2277.9
195,14744.0,1031.6,1667.2,1968.5,2183.2,2344.3
196,14820.0,1235.8,1722.7,1871.1,2015.8,2157.0
197,14896.0,1181.4,1529.4,1840.5,2090.5,2355.2
198,14972.0,316.3,1246.9,1901.1,2155.9,2278.6
199,15048.0,537.4,1496.0,1890.9,2063.5,2220.0
200,15124.0,1169.5,1582.2,2047.7,2196.1,2308.7
201,15200.0,628.6,1533.1,1991.9,2219.6,2343.8
202,15276.0,1604.6,1932.9,2116.1,2222.9,2324.8
203,15352.0,1060.4,1403.9,1869.8,2128.7,2396.4
204,15428.0,1488.5,1861.1,2087.3,2212.7,2326.7
205,15504.0,653.2,1252.2,1972.2,2133.5,2244.2
206,15580.0,1466.1,1936.8,2085.2,2183.5,2335.2
207,15656.0,1244.7,1536.2,1983.5,2169.2,2357.2
208,15732.0,1013.6,1633.7,2133.8,2274.7,2427.9
209,15808.0,1317.3,1682.4,2049.6,2208.4,2321.3
210,15884.0,782.8,1501.1,1926.6,2176.1,2300.7
211,15960.0,1100.0,1623.5,2053.4,2189.7,2280.0
212,16036.0,1276.8,1742.2,2021.8,2174.8,2265.6
213,16112.0,1582.6,1869.4,2000.1,2109.5,2369.2
214,16188.0,879.1,1633.3,1933.2,2138.5,2398.4
215,16264.0,596.2,1430.4,1988.7,2162.0,2269.5
216,16340.0,1018.7,1668.4,1976.6,2219.3,2417.1
217,16416.0,1401.3,1829.6,1987.0,2163.0,2412.3
218,16492.0,1286.0,1789.9,2035.8,2188.4,2278.2
219,16568.0,257.1,886.2,1729.9,2012.2,2265.9
220,16644.0,967.6,1508.4,1906.8,2238.7,2486.3
221,16720.0,1133.4,1506.7,1946.4,2240.4,2434.0
222,16796.0,1011.6,1729.2,2091.8,2256.4,2378.7
223,16872.0,1231.5,1497.4,1936.4,2127.3,2239.0
224,16948.0,1513.0,1929.2,2030.7,2101.0,2250.1
225,17024.0,1392.1,1883.1,2040.0,2135.0,2297.7
226,17100.0,551.6,1146.8,2032.2,2210.3,2409.1
227,17176.0,1664.3,1815.5,1969.4,2057.6,2136.0
228,17252.0,1709.7,1872.2,1965.3,2028.4,2180.1
229,17328.0,243.6,802.0,1909.2,2093.6,2207.4
230,17404.0,1014.8,1589.1,1866.1,2011.2,2278.2
231,17480.0,1738.5,1865.1,2038.6,2117.8,2193.3
232,17556.0,872.7,1565.2,1995.7,2260.2,2444.2
233,17632.0,1610.2,1918.6,2102.8,2233.6,2346.5
234,17708.0,1012.5,1750.7,2075.2,2205.8,2346.7
235,17784.0,1428.8,1761.0,2057.6,2195.7,2324.1
236,17860.0,1557.6,1815.5,2084.6,2203.6,2409.3
237,17936.0,973.7,1585.6,1816.3,1942.1,2050.3
238,18012.0,1692.3,1895.3,2019.1,2143.5,2242.2
239,18088.0,1256.4,1757.6,2035.5,2149.9,2217.8
240,18164.0,647.2,1538.9,1958.7,2098.6,2269.5
241,18240.0,642.7,1202.1,1857.7,2091.1,2270.8
242,18316.0,1529.6,1665.2,2046.8,2181.5,2279.3
243,18392.0,676.7,1270.1,1836.6,2177.8,2336.7
244,18468.0,1145.2,1488.5,1866.2,2111.1,2436.4
245,18544.0,1592.6,1825.7,1998.7,2098.7,2176.2
246,18620.0,967.3,1364.3,1769.8,2027.8,2223.5
247,18696.0,1341.0,1612.4,1998.3,2138.5,2279.6
248,18772.0,1354.5,1631.1,1950.1,2137.5,2264.1
249,18848.0,876.0,1146.5,2101.8,2291.4,2436.4
250,18924.0,1332.6,1862.9,2030.0,2203.0,2327.6
251,19000.0,1535.6,1832.4,2096.2,2204.3,2306.3
252,19076.0,1411.1,1684.4,2043.7,2225.4,2338.8
253,19152.0,1546.0,2000.9,2125.4,2216.9,2324.9
254,19228.0,1361.8,1750.9,2008.8,2188.5,2280.8
255,19304.0,747.9,1663.9,2008.5,2165.0,2301.4
256,19380.0,1419.3,1811.9,1994.0,2176.5,2354.3
257,19456.0,1048.3,1556.1,1788.2,2006.0,2208.8
258,19532.0,1575.1,1765.8,2001.1,2109.5,2322.6
259,19608.0,1435.6,1814.9,2065.8,2211.0,2323.7
260,19684.0,1047.2,1779.2,2039.2,2180.0,2307.9
261,19760.0,913.9,1820.0,2141.8,2248.3,2367.1
262,19836.0,685.8,1387.4,2035.5,2244.2,2446.3
263,19912.0,1456.6,1819.9,2046.9,2179.2,2368.3
264,19988.0,1049.5,1695.7,2046.1,2194.0,2304.8
265,20064.0,760.9,1399.6,1995.3,2161.0,2379.5
266,20140.0,1511.4,1835.7,2050.4,2186.5,2460.5
267,20216.0,1211.6,1895.6,2084.1,2179.0,2311.6
268,20292.0,1508.5,1835.2,2036.4,2146.1,2230.4
269,20368.0,1883.7,1955.3,2124.1,2208.1,2300.4
270,20444.0,950.8,1482.7,1843.3,2039.2,2306.1
271,20520.0,1247.9,1597.5,1874.7,2059.7,2201.9
272,20596.0,572.5,1113.9,1744.3,2076.3,2296.9
273,20672.0,837.9,1564.2,2042.4,2195.3,2294.8
274,20748.0,1394.4,1731.4,2058.5,2156.5,2248.7
275,20824.0,1523.2,1709.2,2022.6,2172.4,2320.3
276,20900.0,690.2,1441.5,2039.5,2230.9,2360.0
277,20976.0,1512.0,1698.4,1993.6,2229.0,2330.3
278,21052.0,1446.3,1807.1,2141.4,2342.6,2492.1
279,21128.0,1119.9,1741.8,2173.9,2360.3,2641.7
280,21204.0,1401.7,1897.0,2188.6,2384.5,2645.7
281,21280.0,1306.3,1785.0,2064.4,2339.4,2606.4
282,21356.0,1341.6,1625.4,2006.9,2247.3,2483.9
283,21432.0,1480.3,1678.4,2028.5,2176.9,2417.9
284,21508.0,1474.3,1766.9,1962.9,2185.3,2395.6
285,21584.0,1325.8,1863.2,2102.2,2266.0,2359.7
286,21660.0,1400.2,1802.7,2096.4,2264.8,2362.9
287,21736.0,397.6,1621.2,2116.8,2332.6,2526.7
288,21812.0,1549.0,1810.9,1980.0,2142.0,2409.1
289,21888.0,1352.0,1796.0,2119.1,2283.1,2440.7
290,21964.0,1498.6,1966.9,2117.3,2262.8,2348.0
291,22040.0,1436.9,1805.6,2043.9,2198.2,2393.8
292,22116.0,1532.5,1754.3,2099.0,2179.8,2289.5
293,22192.0,913.5,1841.7,2145.8,2367.1,2469.1
294,22268.0,1534.5,1924.1,2124.1,2225.5,2401.8
295,22344.0,1488.3,1891.7,2097.9,2224.3,2358.2
296,22420.0,1775.1,1949.3,2049.1,2117.9,2177.5
297,22496.0,1129.4,1578.4,1934.9,2164.4,2301.1
298,22572.0,499.0,1411.2,1815.8,2173.0,2385.4
299,22648.0,1147.9,1871.1,2154.7,2303.5,2377.3
300,22724.0,1368.0,1662.3,2020.8,2232.4,2372.3
301,22800.0,1599.4,1950.7,2174.6,2240.0,2394.3
302,22876.0,1387.8,1847.3,2055.8,2221.3,2396.4
303,22952.0,625.5,1448.8,1928.0,2192.1,2403.6
304,23028.0,1344.3,1812.3,1995.7,2125.8,2243.7
305,23104.0,1388.3,1598.2,2067.5,2225.5,2358.5
306,23180.0,1352.7,1867.2,2120.1,2245.3,2480.6
307,23256.0,1552.8,1953.2,2122.8,2225.2,2326.0
308,23332.0,729.5,1590.6,1945.2,2146.6,2334.1
309,23408.0,1056.6,1446.8,2047.3,2278.1,2496.7
310,23484.0,1144.7,1673.0,2014.8,2252.6,2534.7
311,23560.0,1304.1,1623.7,2040.9,2218.6,2342.6
312,23636.0,1482.8,1936.9,2098.0,2221.0,2353.9
313,23712.0,1263.1,1735.5,1901.8,2122.9,2315.9
314,23788.0,1461.2,1768.5,2054.8,2199.7,2373.3
315,23864.0,998.0,1685.9,2058.9,2290.0,2499.2
316,23940.0,1506.5,1825.4,2229.4,2372.5,2482.5
317,24016.0,1422.6,1835.0,2049.5,2195.0,2334.4
318,24092.0,1201.7,1733.6,2099.5,2297.3,2385.1
319,24168.0,1461.9,1760.4,1962.9,2100.4,2193.8
320,24244.0,1420.8,1944.5,2177.0,2267.9,2344.7
321,24320.0,935.3,1567.7,2005.5,2229.5,2370.7
322,24396.0,1580.8,1858.8,2194.0,2270.1,2399.5
323,24472.0,1263.5,1633.2,1937.9,2180.8,2426.3
324,24548.0,697.4,1365.0,1867.4,2187.4,2418.5
325,24624.0,1405.6,1782.1,2024.7,2168.7,2321.8
326,24700.0,1223.4,1631.1,2200.3,2338.0,2455.6
327,24776.0,1441.7,1729.6,2184.6,2283.1,2448.1
328,24852.0,1595.8,1981.1,2210.3,2305.4,2368.0
329,24928.0,646.4,1547.6,2059.9,2302.3,2413.6
330,25004.0,1412.0,1802.4,2130.9,2335.3,2426.9
331,25080.0,1560.9,1836.3,2070.6,2245.4,2475.4
332,25156.0,1290.1,1970.4,2157.6,2285.7,2423.1
333,25232.0,1659.3,1926.2,2069.0,2214.7,2409.1
334,25308.0,1481.3,1739.5,1993.6,2161.7,2343.8
335,25384.0,980.1,1764.6,2155.9,2340.4,2516.5
336,25460.0,1473.2,1636.8,1995.5,2172.0,2366.2
337,25536.0,1009.1,1734.2,2055.0,2211.9,2369.8
338,25612.0,861.5,1506.8,1914.0,2183.3,2367.1
339,25688.0,1519.9,1747.5,2016.2,2186.8,2386.1
